11:13:18.374 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/self_update/controller/{version}],methods=[POST]}" onto public java.util.Map<java.lang.String, java.lang.Object> jp.co.worksap.updater.web.rest.SelfUpdateWebService.selfUpdateController(java.lang.String)
11:13:18.374 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/self_update/ciu/latest],methods=[GET]}" onto public jp.co.worksap.updater.web.dto.VersionDto jp.co.worksap.updater.web.rest.SelfUpdateWebService.getLatestCiuVersion()
11:13:18.374 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/self_update/download/{version}],methods=[POST]}" onto public boolean jp.co.worksap.updater.web.rest.SelfUpdateWebService.downloadCiuInRemoteResource(java.lang.String)
11:13:18.374 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/next/{type}],methods=[POST]}" onto public boolean jp.co.worksap.updater.web.rest.UpdateWebService.next(java.lang.String,java.util.Map<java.lang.String, java.lang.String>)
11:13:18.374 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/reset],methods=[POST]}" onto public boolean jp.co.worksap.updater.web.rest.UpdateWebService.reset()
11:13:18.390 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/environment/{envId}],methods=[GET]}" onto public jp.co.worksap.updater.web.dto.EnvironmentDto jp.co.worksap.updater.web.rest.UpdateWebService.getEnv(int)
11:13:18.390 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/operator],methods=[POST]}" onto public void jp.co.worksap.updater.web.rest.UpdateWebService.setOperator()
11:13:18.390 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/finish/{envId}/{versionId}],methods=[POST]}" onto public boolean jp.co.worksap.updater.web.rest.UpdateWebService.finish(int,int,jp.co.worksap.updater.web.dto.VersionDto) throws java.io.IOException
11:13:18.390 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/post_update/{envId}/{prodCd}/{versionId}/collect/{key:.+}],methods=[GET]}" onto public jp.co.worksap.updater.web.dto.TaskDto jp.co.worksap.updater.web.rest.UpdateWebService.getOnePostUpdateCollect(int,java.lang.String,int,java.lang.String)
11:13:18.390 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/post_update/{envId}/{prodCd}/{versionId}/manual/{key:.+}],methods=[GET]}" onto public jp.co.worksap.updater.web.dto.TaskDto jp.co.worksap.updater.web.rest.UpdateWebService.getOnePostUpdateManual(int,java.lang.String,int,java.lang.String)
11:13:18.390 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/downloadable_resource/{envId}/{prodCd}],methods=[GET]}" onto public java.util.Map<java.lang.String, java.lang.Object> jp.co.worksap.updater.web.rest.UpdateWebService.getDownloadableVersions(int,java.lang.String) throws java.io.IOException
11:13:18.390 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/isUpdating],methods=[GET]}" onto public boolean jp.co.worksap.updater.web.rest.UpdateWebService.isUpdating()
