10:57:31.729 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/operator],methods=[POST]}" onto public void jp.co.worksap.updater.web.rest.UpdateWebService.setOperator()
10:57:31.729 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/post_update/{envId}/{prodCd}/{versionId}/collect/{key:.+}],methods=[GET]}" onto public jp.co.worksap.updater.web.dto.TaskDto jp.co.worksap.updater.web.rest.UpdateWebService.getOnePostUpdateCollect(int,java.lang.String,int,java.lang.String)
10:57:31.729 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/post_update/{envId}/{prodCd}/{versionId}/manual/{key:.+}],methods=[GET]}" onto public jp.co.worksap.updater.web.dto.TaskDto jp.co.worksap.updater.web.rest.UpdateWebService.getOnePostUpdateManual(int,java.lang.String,int,java.lang.String)
10:57:31.729 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/version_info/{envId}/{prodCd}],methods=[GET]}" onto public java.util.Map<java.lang.String, java.lang.Object> jp.co.worksap.updater.web.rest.UpdateWebService.getVersion(int,java.lang.String) throws java.io.IOException
10:57:31.729 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/debugState],methods=[POST]}" onto public java.util.Map<java.lang.String, java.lang.Boolean> jp.co.worksap.updater.web.rest.UpdateWebService.setDebugState(java.util.Map<java.lang.String, java.lang.Boolean>)
10:57:31.729 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/debugState],methods=[GET]}" onto public java.util.Map<java.lang.String, java.lang.Boolean> jp.co.worksap.updater.web.rest.UpdateWebService.getDebugState()
10:57:31.729 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/last_update/{envId}/{prodCd}],methods=[GET]}" onto public jp.co.worksap.updater.web.dto.UpdateRecordDto jp.co.worksap.updater.web.rest.UpdateWebService.getLastUpdate(int,java.lang.String) throws java.lang.Exception
10:57:31.729 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/get_env_config/{envId}/{prodCd}],methods=[GET]}" onto public java.util.Map<java.lang.String, java.lang.Object> jp.co.worksap.updater.web.rest.UpdateWebService.getEnvConfig(int,java.lang.String) throws java.io.IOException
10:57:31.729 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/user_environment/{userId}],methods=[GET]}" onto public java.util.List<jp.co.worksap.updater.web.dto.EnvironmentDto> jp.co.worksap.updater.web.rest.UpdateWebService.getEnvForUser(int)
10:57:31.729 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/next/{type}/{key:.+}],methods=[POST]}" onto public boolean jp.co.worksap.updater.web.rest.UpdateWebService.nextWithCheck(java.lang.String,java.lang.String)
10:57:31.729 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/manual_part/{envId}/{prodCd}/{versionId}],methods=[GET]}" onto public java.util.Map<java.lang.String, java.util.List<jp.co.worksap.updater.web.dto.TaskDto>> jp.co.worksap.updater.web.rest.UpdateWebService.getManualParts(int,java.lang.String,int)
10:57:31.729 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/manual_part/{envId}/{prodCd}/{versionId}/collect/{key:.+}],methods=[POST]}" onto public boolean jp.co.worksap.updater.web.rest.UpdateWebService.saveOneCollect(int,java.lang.String,int,java.lang.String,java.util.List<java.lang.Object>)
10:57:31.729 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/manual_part/{envId}/{prodCd}/{versionId}/fast/{key:.+}],methods=[POST]}" onto public boolean jp.co.worksap.updater.web.rest.UpdateWebService.saveOneFast(int,java.lang.String,int,java.lang.String,java.util.List<jp.co.worksap.updater.common.dto.FastReleaseTaskInfo$FastReleaseFileInfo>)
10:57:31.729 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/post_update/{envId}/{prodCd}/{versionId}],methods=[GET]}" onto public java.util.Map<java.lang.String, java.util.List<jp.co.worksap.updater.web.dto.TaskDto>> jp.co.worksap.updater.web.rest.UpdateWebService.getPostUpdate(int,java.lang.String,int)
